2026-01-02 04:11:00 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 04:11:00 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 04:11:01 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 04:11:01 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 04:11:01 | INFO | news_crawler | crawl_news_once total=100 unique=99
2026-01-02 04:11:01 | INFO | news_crawler | sync_news_dir done: new_files=0 dup_skipped=99
2026-01-02 04:21:07 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 04:21:07 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 04:21:08 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 04:21:08 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 04:21:09 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 04:21:09 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 04:21:10 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 04:21:10 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 04:21:11 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 04:21:11 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 04:21:11 | INFO | news_crawler | crawl_news_once total=100 unique=99
2026-01-02 04:21:11 | INFO | news_crawler | sync_news_dir done: new_files=0 dup_skipped=99
2026-01-02 04:31:16 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 04:31:16 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 04:31:17 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 04:31:17 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 04:31:18 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 04:31:18 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 04:31:19 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 04:31:19 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 04:31:20 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 04:31:20 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 04:31:20 | INFO | news_crawler | crawl_news_once total=100 unique=99
2026-01-02 04:31:20 | INFO | news_crawler | sync_news_dir done: new_files=0 dup_skipped=99
2026-01-02 04:41:25 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 04:41:26 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 04:41:27 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 04:41:27 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 04:41:28 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 04:41:28 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 04:41:29 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 04:41:29 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 04:41:30 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 04:41:30 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 04:41:30 | INFO | news_crawler | crawl_news_once total=100 unique=100
2026-01-02 04:41:31 | INFO | news_crawler | sync_news_dir done: new_files=4 dup_skipped=96
2026-01-02 04:56:18 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 04:56:18 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 04:56:19 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 04:56:19 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 04:56:20 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 04:56:21 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 04:56:21 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 04:56:21 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 04:56:22 | INFO | news_crawler | Google RSS kw='Ontology' items=10
2026-01-02 04:56:23 | INFO | news_crawler | Naver search kw='Ontology' items=10
2026-01-02 04:56:23 | INFO | news_crawler | crawl_news_once total=100 unique=100
2026-01-02 04:56:23 | INFO | news_crawler | sync_news_dir done: new_files=4 dup_skipped=96
2026-01-02 05:11:44 | INFO | news_crawler | Google RSS kw='소프트웨어 공학' items=10
2026-01-02 05:11:44 | INFO | news_crawler | Naver search kw='소프트웨어 공학' items=10
2026-01-02 05:11:45 | INFO | news_crawler | Google RSS kw='AI 안전' items=10
2026-01-02 05:11:45 | INFO | news_crawler | Naver search kw='AI 안전' items=10
2026-01-02 05:11:46 | INFO | news_crawler | Google RSS kw='자동차 기능안전' items=10
2026-01-02 05:11:46 | INFO | news_crawler | Naver search kw='자동차 기능안전' items=10
2026-01-02 05:11:46 | INFO | news_crawler | Google RSS kw='SDV' items=10
2026-01-02 05:11:47 | INFO | news_crawler | Naver search kw='SDV' items=10
2026-01-02 05:11:47 | INFO | news_crawler | Google RSS kw='Ontology' items=10
